gene,split,n_variants,n_pos,n_neg,pos_ratio,sym,n,pos,movers
26524,train,11,0,11,0.0,LATS2,11,0,0
26986,train,3,0,3,0.0,PABPC1,3,0,0
27,train,3,0,3,0.0,ABL2,3,0,0
27044,train,7,0,7,0.0,SND1,7,0,0
27086,train,107,27,80,0.2523,FOXP1,107,27,4
2735,train,12,0,12,0.0,GLI1,12,0,0
27436,train,2,0,2,0.0,EML4,2,0,0
2778,train,119,43,76,0.3613,GNAS,119,43,0
283149,train,12,0,12,0.0,BCL9L,12,0,0
283150,train,1,0,1,0.0,FOXR1,1,0,0
286,train,196,69,127,0.352,ANK1,196,69,0
2903,train,257,54,203,0.2101,GRIN2A,257,54,7
29072,train,96,3,93,0.0312,SETD2,96,3,6
29102,train,9,0,9,0.0,DROSHA,9,0,0
29126,train,3,0,3,0.0,CD274,3,0,0
2913,train,3,0,3,0.0,GRM3,3,0,0
2932,train,10,0,10,0.0,GSK3B,10,0,0
29974,train,4,0,4,0.0,A1CF,4,0,0
3082,train,30,0,30,0.0,HGF,30,0,0
30835,train,3,0,3,0.0,CD209,3,0,0
3084,train,7,0,7,0.0,NRG1,7,0,0
3091,train,5,0,5,0.0,HIF1A,5,0,0
3092,train,8,0,8,0.0,HIP1,8,0,0
3110,train,23,0,23,0.0,MNX1,23,0,0
3131,train,1,0,1,0.0,HLF,1,0,0
3169,train,2,0,2,0.0,FOXA1,2,0,0
3181,train,20,0,20,0.0,HNRNPA2B1,20,0,0
3207,train,2,0,2,0.0,HOXA11,2,0,0
3209,train,8,0,8,0.0,HOXA13,8,0,0
3229,train,3,0,3,0.0,HOXC13,3,0,0
3265,train,112,20,92,0.1786,HRAS,112,20,2
330,train,3,0,3,0.0,BIRC3,3,0,0
3320,train,2,0,2,0.0,HSP90AA1,2,0,0
3326,train,1,0,1,0.0,HSP90AB1,1,0,0
3337,train,2,0,2,0.0,DNAJB1,2,0,0
3371,train,100,0,100,0.0,TNC,100,0,0
340419,train,6,0,6,0.0,RSPO2,6,0,0
3492,train,1,0,1,0.0,IGH,1,0,0
3535,train,4,0,4,0.0,IGL,4,0,0
355,train,52,15,37,0.2885,FAS,52,15,2
3575,train,75,20,55,0.2667,IL7R,75,20,0
3662,train,18,0,18,0.0,IRF4,18,0,1
3685,train,3,0,3,0.0,ITGAV,3,0,0
3688,train,2,0,2,0.0,ITGB1,2,0,0
369,train,2,0,2,0.0,ARAF,2,0,0
3716,train,29,0,29,0.0,JAK1,29,0,0
3717,train,37,1,36,0.027,JAK2,37,1,0
3718,train,117,30,87,0.2564,JAK3,117,30,2
3762,train,93,1,92,0.0108,KCNJ5,93,1,1
3791,train,12,0,12,0.0,KDR,12,0,0
3815,train,486,11,475,0.0226,KIT,486,11,6
3845,train,96,35,61,0.3646,KRAS,96,35,0
3895,train,8,0,8,0.0,KTN1,8,0,0
3927,train,1,0,1,0.0,LASP1,1,0,0
3932,train,10,0,10,0.0,LCK,10,0,0
3936,train,1,0,1,0.0,LCP1,1,0,0
394,train,6,0,6,0.0,ARHGAP5,6,0,0
3977,train,78,19,59,0.2436,LIFR,78,19,0
399,train,4,0,4,0.0,RHOH,4,0,0
4000,train,379,134,245,0.3536,LMNA,379,134,7
4005,train,1,0,1,0.0,LMO2,1,0,0
4026,train,30,0,30,0.0,LPP,30,0,0
405,train,1,0,1,0.0,ARNT,1,0,0
4067,train,10,0,10,0.0,LYN,10,0,1
4088,train,223,40,183,0.1794,SMAD3,223,40,3
4089,train,519,50,469,0.0963,SMAD4,519,50,4
4193,train,7,0,7,0.0,MDM2,7,0,0
4194,train,5,0,5,0.0,MDM4,5,0,0
4214,train,50,1,49,0.02,MAP3K1,50,1,0
4255,train,2,0,2,0.0,MGMT,2,0,0
4286,train,151,22,129,0.1457,MITF,151,22,0
4291,train,2,0,2,0.0,MLF1,2,0,0
4297,train,249,47,202,0.1888,KMT2A,249,47,1
4298,train,1,0,1,0.0,MLLT1,1,0,0
4299,train,6,0,6,0.0,AFF1,6,0,0
4300,train,1,0,1,0.0,MLLT3,1,0,0
4302,train,2,0,2,0.0,MLLT6,2,0,0
4582,train,1,0,1,0.0,MUC1,1,0,0
4585,train,10,0,10,0.0,MUC4,10,0,0
4595,train,590,119,471,0.2017,MUTYH,590,119,4
4602,train,1,0,1,0.0,MYB,1,0,0
4609,train,3,0,3,0.0,MYC,3,0,0
4615,train,5,0,5,0.0,MYD88,5,0,0
4627,train,294,21,273,0.0714,MYH9,294,21,1
4629,train,772,5,767,0.0065,MYH11,772,5,5
4644,train,65,0,65,0.0,MYO5A,65,0,0
4654,train,3,0,3,0.0,MYOD1,3,0,0
466,train,2,0,2,0.0,ATF1,2,0,0
4665,train,1,0,1,0.0,NAB2,1,0,0
4666,train,4,0,4,0.0,NACA,4,0,0
4683,train,532,101,431,0.1898,NBN,532,101,6
471,train,44,0,44,0.0,ATIC,44,0,0
4771,train,380,46,334,0.1211,NF2,380,46,7
4773,train,9,0,9,0.0,NFATC2,9,0,0
4780,train,10,0,10,0.0,NFE2L2,10,0,0
4794,train,1,0,1,0.0,NFKBIE,1,0,0
4869,train,2,0,2,0.0,NPM1,2,0,0
4893,train,50,15,35,0.3,NRAS,50,15,1
4913,train,247,36,211,0.1457,NTHL1,247,36,0
4914,train,155,39,116,0.2516,NTRK1,155,39,2
4916,train,16,0,16,0.0,NTRK3,16,0,0
4926,train,13,0,13,0.0,NUMA1,13,0,0
4928,train,8,0,8,0.0,NUP98,8,0,0
5049,train,1,0,1,0.0,PAFAH1B2,1,0,0
50615,train,25,0,25,0.0,IL21R,25,0,0
5079,train,70,1,69,0.0143,PAX5,70,1,1
51059,train,4,0,4,0.0,FAM135B,4,0,0
5108,train,9,0,9,0.0,PCM1,9,0,0
51176,train,2,0,2,0.0,LEF1,2,0,0
51199,train,68,1,67,0.0147,NIN,68,1,0
51366,train,2,0,2,0.0,UBR5,2,0,0
51517,train,1,0,1,0.0,NCKIPSD,1,0,0
51592,train,4,0,4,0.0,TRIM33,4,0,0
51684,train,297,7,290,0.0236,SUFU,297,7,9
51755,train,25,0,25,0.0,CDK12,25,0,0
5187,train,4,0,4,0.0,PER1,4,0,0
5290,train,233,46,187,0.1974,PIK3CA,233,46,7
5291,train,7,0,7,0.0,PIK3CB,7,0,0
5335,train,3,0,3,0.0,PLCG1,3,0,0
53353,train,25,0,25,0.0,LRP1B,25,0,0
5339,train,483,16,467,0.0331,PLEC,483,16,7
5371,train,7,0,7,0.0,PML,7,0,0
5378,train,19,0,19,0.0,PMS1,19,0,0
5396,train,3,0,3,0.0,PRRX1,3,0,0
5413,train,1,0,1,0.0,SEPTIN5,1,0,0
5428,train,314,109,205,0.3471,POLG,314,109,3
54487,train,4,0,4,0.0,DGCR8,4,0,0
545,train,446,10,436,0.0224,ATR,446,10,5
5450,train,3,0,3,0.0,POU2AF1,3,0,0
546,train,180,23,157,0.1278,ATRX,180,23,3
54790,train,123,1,122,0.0081,TET2,123,1,0
54894,train,148,2,146,0.0135,RNF43,148,2,3
54904,train,7,0,7,0.0,NSD3,7,0,0
55159,train,15,0,15,0.0,RFWD3,15,0,0
55160,train,5,0,5,0.0,ARHGEF10L,5,0,0
55193,train,21,0,21,0.0,PBRM1,21,0,0
55215,train,166,42,124,0.253,FANCI,166,42,2
55252,train,52,0,52,0.0,ASXL2,52,0,8
5537,train,1,0,1,0.0,PPP6C,1,0,0
55422,train,3,0,3,0.0,ZNF331,3,0,0
55596,train,16,0,16,0.0,ZCCHC8,16,0,0
55654,train,175,23,152,0.1314,TMEM127,175,23,5
55728,train,2,0,2,0.0,N4BP2,2,0,0
5573,train,245,19,226,0.0776,PRKAR1A,245,19,1
5579,train,4,0,4,0.0,PRKCB,4,0,0
5587,train,20,0,20,0.0,PRKD1,20,0,0
5604,train,121,20,101,0.1653,MAP2K1,121,20,1
5605,train,207,13,194,0.0628,MAP2K2,207,13,3
567,train,4,0,4,0.0,B2M,4,0,0
57007,train,3,0,3,0.0,ACKR3,3,0,0
57082,train,47,0,47,0.0,KNL1,47,0,0
57105,train,10,0,10,0.0,CYSLTR2,10,0,0
57448,train,28,0,28,0.0,BIRC6,28,0,0
57492,train,341,73,268,0.2141,ARID1B,341,73,5
5753,train,1,0,1,0.0,PTK6,1,0,0
57591,train,28,0,28,0.0,MRTFA,28,0,0
57670,train,83,0,83,0.0,KIAA1549,83,0,1
57674,train,181,0,181,0.0,RNF213,181,0,0
57697,train,402,23,379,0.0572,FANCM,402,23,8
57698,train,1,0,1,0.0,SHTN1,1,0,0
5777,train,3,0,3,0.0,PTPN6,3,0,0
5781,train,264,99,165,0.375,PTPN11,264,99,4
57820,train,1,0,1,0.0,CCNB1IP1,1,0,0
5783,train,7,0,7,0.0,PTPN13,7,0,0
5787,train,5,0,5,0.0,PTPRB,5,0,0
5789,train,18,0,18,0.0,PTPRD,18,0,0
5796,train,1,0,1,0.0,PTPRK,1,0,0
581,train,1,0,1,0.0,BAX,1,0,0
58508,train,247,13,234,0.0526,KMT2C,247,13,13
5889,train,426,86,340,0.2019,RAD51C,426,86,5
5890,train,33,0,33,0.0,RAD51B,33,0,0
5892,train,410,54,356,0.1317,RAD51D,410,54,7
5894,train,222,37,185,0.1667,RAF1,222,37,4
5900,train,11,0,11,0.0,RALGDS,11,0,0
5903,train,149,14,135,0.094,RANBP2,149,14,1
5908,train,5,0,5,0.0,RAP1B,5,0,0
5910,train,1,0,1,0.0,RAP1GDS1,1,0,0
5914,train,1,0,1,0.0,RARA,1,0,0
5921,train,186,26,160,0.1398,RASA1,186,26,1
595,train,8,0,8,0.0,CCND1,8,0,0
5966,train,11,0,11,0.0,REL,11,0,0
5979,train,785,58,727,0.0739,RET,785,58,13
60,train,91,27,64,0.2967,ACTB,91,27,2
6000,train,1,0,1,0.0,RGS7,1,0,0
602,train,1,0,1,0.0,BCL3,1,0,0
604,train,6,0,6,0.0,BCL6,6,0,0
607,train,2,0,2,0.0,BCL9,2,0,0
608,train,1,0,1,0.0,TNFRSF17,1,0,0
6092,train,67,0,67,0.0,ROBO2,67,0,0
6093,train,4,0,4,0.0,ROCK1,4,0,0
6098,train,12,0,12,0.0,ROS1,12,0,0
613,train,17,0,17,0.0,BCR,17,0,0
6134,train,3,0,3,0.0,RPL10,3,0,0
6184,train,4,0,4,0.0,RPN1,4,0,0
6249,train,6,0,6,0.0,CLIP1,6,0,0
63035,train,16,0,16,0.0,BCORL1,16,0,0
6390,train,320,103,217,0.3219,SDHB,320,103,8
6391,train,168,34,134,0.2024,SDHC,168,34,8
6392,train,159,48,111,0.3019,SDHD,159,48,2
63976,train,220,0,220,0.0,PRDM16,220,0,3
641,train,651,100,551,0.1536,BLM,651,100,8
6421,train,1,0,1,0.0,SFPQ,1,0,0
6424,train,6,0,6,0.0,SFRP4,6,0,0
64324,train,293,86,207,0.2935,NSD1,293,86,6
6455,train,7,0,7,0.0,SH3GL1,7,0,0
64783,train,2,0,2,0.0,RBM15,2,0,0
64784,train,2,0,2,0.0,CRTC3,2,0,0
6491,train,37,0,37,0.0,STIL,37,0,0
6497,train,271,9,262,0.0332,SKI,271,9,6
65268,train,11,0,11,0.0,WNK2,11,0,0
657,train,522,62,460,0.1188,BMPR1A,522,62,8
6598,train,256,21,235,0.082,SMARCB1,256,21,10
6602,train,5,0,5,0.0,SMARCD1,5,0,0
6608,train,39,0,39,0.0,SMO,39,0,0
6654,train,294,37,257,0.1259,SOS1,294,37,4
6714,train,11,0,11,0.0,SRC,11,0,0
673,train,234,71,163,0.3034,BRAF,234,71,1
6756,train,1,0,1,0.0,SSX1,1,0,0
6774,train,94,23,71,0.2447,STAT3,94,23,2
6778,train,5,0,5,0.0,STAT6,5,0,0
6794,train,667,73,594,0.1094,STK11,667,73,9
6801,train,14,0,14,0.0,STRN,14,0,0
6850,train,14,0,14,0.0,SYK,14,0,0
6886,train,2,0,2,0.0,TAL1,2,0,0
6926,train,48,1,47,0.0208,TBX3,48,1,0
6929,train,67,2,65,0.0299,TCF3,67,2,0
7037,train,45,0,45,0.0,TFRC,45,0,0
7046,train,133,20,113,0.1504,TGFBR1,133,20,3
7048,train,237,39,198,0.1646,TGFBR2,237,39,4
7113,train,7,0,7,0.0,TMPRSS2,7,0,0
7150,train,3,0,3,0.0,TOP1,3,0,0
7171,train,1,0,1,0.0,TPM4,1,0,0
7175,train,9,0,9,0.0,TPR,9,0,0
7253,train,51,17,34,0.3333,TSHR,51,17,1
729262,train,1,0,1,0.0,NUTM2B,1,0,0
7403,train,95,14,81,0.1474,KDM6A,95,14,1
7409,train,20,0,20,0.0,VAV1,20,0,0
7428,train,390,145,245,0.3718,VHL,390,145,6
7430,train,4,0,4,0.0,EZR,4,0,0
7454,train,73,27,46,0.3699,WAS,73,27,0
7486,train,168,68,100,0.4048,WRN,168,68,3
7490,train,316,20,296,0.0633,WT1,316,20,9
7507,train,40,16,24,0.4,XPA,40,16,1
7508,train,123,40,83,0.3252,XPC,123,40,0
7514,train,5,0,5,0.0,XPO1,5,0,0
7531,train,9,0,9,0.0,YWHAE,9,0,0
7555,train,1,0,1,0.0,CNBP,1,0,0
7704,train,9,0,9,0.0,ZBTB16,9,0,0
776,train,177,2,175,0.0113,CACNA1D,177,2,0
7799,train,4,0,4,0.0,PRDM2,4,0,0
79577,train,283,21,262,0.0742,CDC73,283,21,10
79633,train,208,4,204,0.0192,FAT4,208,4,1
7994,train,248,20,228,0.0806,KAT6A,248,20,5
8019,train,1,0,1,0.0,BRD3,1,0,0
80243,train,11,0,11,0.0,PREX2,11,0,0
8028,train,1,0,1,0.0,MLLT10,1,0,0
8030,train,1,0,1,0.0,CCDC6,1,0,0
8031,train,6,0,6,0.0,NCOA4,6,0,0
80312,train,12,0,12,0.0,TET1,12,0,0
8091,train,3,0,3,0.0,HMGA2,3,0,0
811,train,12,0,12,0.0,CALR,12,0,0
8115,train,1,0,1,0.0,TCL1A,1,0,0
8148,train,25,0,25,0.0,TAF15,25,0,0
81608,train,1,0,1,0.0,FIP1L1,1,0,0
8178,train,2,0,2,0.0,ELL,2,0,0
8216,train,680,199,481,0.2926,LZTR1,680,199,14
8218,train,21,0,21,0.0,CLTCL1,21,0,0
8233,train,1,0,1,0.0,ZRSR2,1,0,0
8242,train,93,21,72,0.2258,KDM5C,93,21,0
8243,train,100,30,70,0.3,SMC1A,100,30,0
8289,train,160,14,146,0.0875,ARID1A,160,14,2
8295,train,185,4,181,0.0216,TRRAP,185,4,0
8301,train,18,0,18,0.0,PICALM,18,0,0
8312,train,12,0,12,0.0,AXIN1,12,0,0
8314,train,709,73,636,0.103,BAP1,709,73,7
833,train,12,0,12,0.0,CARS1,12,0,0
83417,train,2,0,2,0.0,FCRL4,2,0,0
836,train,1,0,1,0.0,CASP3,1,0,0
84101,train,4,0,4,0.0,USP44,4,0,0
842,train,3,0,3,0.0,CASP9,3,0,0
84376,train,1,0,1,0.0,HOOK3,1,0,0
84441,train,1,0,1,0.0,MAML2,1,0,0
84629,train,22,0,22,0.0,TNRC18,22,0,0
8471,train,6,0,6,0.0,IRS4,6,0,0
84902,train,23,0,23,0.0,CEP89,23,0,0
8496,train,1,0,1,0.0,PPFIBP1,1,0,0
8522,train,27,0,27,0.0,GAS7,27,0,0
862,train,3,0,3,0.0,RUNX1T1,3,0,0
8626,train,83,25,58,0.3012,TP63,83,25,1
863,train,2,0,2,0.0,CBFA2T3,2,0,0
865,train,4,0,4,0.0,CBFB,4,0,0
867,train,306,14,292,0.0458,CBL,306,14,9
868,train,4,0,4,0.0,CBLB,4,0,0
8764,train,1,0,1,0.0,TNFRSF14,1,0,0
8772,train,8,0,8,0.0,FADD,8,0,0
8805,train,1,0,1,0.0,TRIM24,1,0,0
8833,train,4,0,4,0.0,GMPS,4,0,0
8880,train,3,0,3,0.0,FUBP1,3,0,0
8915,train,6,0,6,0.0,BCL10,6,0,0
8929,train,224,7,217,0.0312,PHOX2B,224,7,3
9098,train,4,0,4,0.0,USP6,4,0,0
90993,train,31,0,31,0.0,CREB3L1,31,0,0
91,train,1,0,1,0.0,ACVR1B,1,0,0
9101,train,24,0,24,0.0,USP8,24,0,0
9113,train,1,0,1,0.0,LATS1,1,0,0
9135,train,2,0,2,0.0,RABEP1,2,0,0
91464,train,2,0,2,0.0,ISX,2,0,0
9203,train,5,0,5,0.0,ZMYM3,5,0,0
940,train,1,0,1,0.0,CD28,1,0,0
9401,train,628,32,596,0.051,RECQL4,628,32,14
94025,train,59,0,59,0.0,MUC16,59,0,0
9611,train,10,0,10,0.0,NCOR1,10,0,0
9612,train,9,0,9,0.0,NCOR2,9,0,0
9639,train,106,0,106,0.0,ARHGEF10,106,0,1
9659,train,5,0,5,0.0,PDE4DIP,5,0,0
973,train,6,0,6,0.0,CD79A,6,0,0
974,train,11,0,11,0.0,CD79B,11,0,0
9774,train,1,0,1,0.0,BCLAF1,1,0,0
9817,train,2,0,2,0.0,KEAP1,2,0,0
9869,train,5,0,5,0.0,SETDB1,5,0,0
9901,train,13,0,13,0.0,SRGAP3,13,0,0
9950,train,1,0,1,0.0,GOLGA5,1,0,0
9967,train,1,0,1,0.0,THRAP3,1,0,0
9968,train,347,15,332,0.0432,MED12,347,15,6
10000,val,29,3,26,0.1034,AKT3,29,3,0
1009,val,13,1,12,0.0769,CDH11,13,1,0
10243,val,128,58,70,0.4531,GPHN,128,58,1
10274,val,31,6,25,0.1935,STAG1,31,6,0
10320,val,31,5,26,0.1613,IKZF1,31,5,0
10342,val,47,3,44,0.0638,TFG,47,3,0
10397,val,103,7,96,0.068,NDRG1,103,7,0
10735,val,26,2,24,0.0769,STAG2,26,2,0
10892,val,18,1,17,0.0556,MALT1,18,1,1
10978,val,7,1,6,0.1429,CLP1,7,1,0
1213,val,50,6,44,0.12,CLTC,50,6,0
124583,val,41,8,33,0.1951,CANT1,41,8,0
139285,val,63,4,59,0.0635,AMER1,63,4,0
1436,val,86,13,73,0.1512,CSF1R,86,13,1
1441,val,52,7,45,0.1346,CSF3R,52,7,0
1500,val,14,2,12,0.1429,CTNND1,14,2,0
1523,val,34,5,29,0.1471,CUX1,34,5,1
1540,val,37,4,33,0.1081,CYLD,37,4,0
1630,val,22,4,18,0.1818,DCC,22,4,0
1639,val,145,5,140,0.0345,DCTN1,145,5,9
1643,val,21,3,18,0.1429,DDB2,21,3,0
1654,val,96,56,40,0.5833,DDX3X,96,56,1
1656,val,4,1,3,0.25,DDX6,4,1,0
196528,val,39,5,34,0.1282,ARID2,39,5,0
1974,val,1,1,0,1.0,EIF4A2,1,1,0
2072,val,78,9,69,0.1154,ERCC4,78,9,0
2073,val,85,9,76,0.1059,ERCC5,85,9,2
2099,val,26,1,25,0.0385,ESR1,26,1,0
2120,val,106,8,98,0.0755,ETV6,106,8,0
2131,val,112,74,38,0.6607,EXT1,112,74,0
2146,val,63,6,57,0.0952,EZH2,63,6,0
2178,val,50,13,37,0.26,FANCE,50,13,1
2188,val,38,3,35,0.0789,FANCF,38,3,0
22800,val,16,6,10,0.375,RRAS2,16,6,0
22978,val,35,3,32,0.0857,NT5C2,35,3,0
23013,val,27,8,19,0.2963,SPEN,27,8,0
23067,val,25,7,18,0.28,SETD1B,25,7,0
23152,val,55,5,50,0.0909,CIC,55,5,0
2324,val,67,7,60,0.1045,FLT4,67,7,0
23261,val,97,10,87,0.1031,CAMTA1,97,10,0
23451,val,12,1,11,0.0833,SF3B1,12,1,0
23512,val,10,3,7,0.3,SUZ12,10,3,0
23522,val,154,12,142,0.0779,KAT6B,154,12,6
25,val,77,9,68,0.1169,ABL1,77,9,4
